Name,Type,Category,Power,Accuracy,PP,Short-Effect,Full-Effect
Dragon Tail,Dragon,Physical,60,90,10,"In battles, the opponent switches. In the wild, the Pokémon runs.","The target is knocked away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
Drain Punch,Fighting,Physical,75,100,10,User recovers half the HP inflicted on opponent.,The user attacks with an energy-draining punch. The user’s HP is restored by up to half the damage taken by the target.
Draining Kiss,Fairy,Special,50,100,10,User recovers most the HP inflicted on opponent.,The user steals the target’s HP with a kiss. The user’s HP is restored by over half the damage taken by the target.
Dream Eater,Psychic,Special,100,100,15,User recovers half the HP inflicted on a sleeping opponent.,The user eats the dreams of a sleeping target. The user’s HP is restored by up to half the damage taken by the target.
Drill Peck,Flying,Physical,80,100,20,,A corkscrewing attack that strikes the target with a sharp beak acting as a drill.
Drill Run,Ground,Physical,80,95,10,High critical hit ratio.,The user crashes into the target while rotating its body like a drill. This move has a heightened chance of landing a critical hit.
Drum Beating,Grass,Physical,80,100,10,Lowers opponent's Speed.,"The user plays its drum, controlling the drum’s roots to attack the target. This also lowers the target’s Speed stat."
Dual Chop,Dragon,Physical,40,90,15,Hits twice in one turn.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Dual Wingbeat,Flying,Physical,40,90,10,The user slams the target with its wings. The target is hit twice in a row.,The user slams the target with its wings to inflict damage. The target is hit twice in a row.
Dynamax Cannon,Dragon,Special,100,100,5,Damage doubles if opponent is Dynamaxed.,The user condenses energy within its body and unleashes that energy from its core to inflict damage.
Dynamic Punch,Fighting,Physical,100,50,5,Confuses opponent.,The user attacks by punching the target with full concentrated power. This also confuses the target.
Earth Power,Ground,Special,90,100,10,May lower opponent's Special Defense.,The user makes the ground under the target erupt with power. This may also lower the target’s Sp. Def stat.
Earthquake,Ground,Physical,100,100,10,Power is doubled if opponent is underground from using Dig.,The user sets off an earthquake that strikes every Pokémon around it.
Echoed Voice,Normal,Special,40,100,15,Power increases each turn.,"The user attacks the target with an echoing voice. If this move is used consecutively by any Pokémon, its power is boosted."
Eerie Impulse,Electric,Status,—,100,15,Sharply lowers opponent's Special Attack.,The user’s body generates an eerie impulse. Exposing the target to it harshly lowers the target’s Sp. Atk stat.
Eerie Spell,Psychic,Special,80,100,5,Deals damage and reduces opponent's PP.,The user attacks with its tremendous psychic power. This also drains 3 PP from the move last used by the target.
Egg Bomb,Normal,Physical,100,75,10,,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Electric Terrain,Electric,Status,—,—,10,Prevents all Pokémon from falling asleep for 5 turns.,"The user turns the ground into Electric Terrain for five turns, powering up Electric-type moves. Pokémon on the ground can no longer fall asleep."
Electrify,Electric,Status,—,—,20,Changes the target's move to Electric type.,"If the target is electrified before it uses a move, the target’s move becomes Electric type for that turn."
Electro Ball,Electric,Special,—,100,10,"The faster the user, the stronger the attack.","The user hurls an electric orb at the target. The faster the user is than the target, the greater the move’s power."
Electro Drift,Electric,Special,100,100,5,Boosted even more if it's super-effective.,"The user races forward at ultrafast speeds, piercing its target with futuristic electricity. This move’s power is boosted more than usual if it’s a supereffective hit."
Electro Shot,Electric,Special,130,100,10,"Charges on first turn, attacks on second.","The user absorbs electricity on the first turn and raises its Special Attack; on the second turn, Electro Shot deals damage."
Electroweb,Electric,Special,55,95,15,Lowers opponent's Speed.,The user captures opposing Pokémon in an electric net to inflict damage. This also lowers their Speed stats.
Embargo,Dark,Status,—,100,15,Opponent cannot use items.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Ember,Fire,Special,40,100,25,May burn opponent.,The target is attacked with small flames. This may also leave the target with a burn.
Encore,Normal,Status,—,100,5,Forces opponent to keep using its last move for 3 turns.,The user compels the target to keep using the move it encored for three turns.
Endeavor,Normal,Physical,—,100,5,Reduces opponent's HP to same as user's.,The user inflicts damage by cutting down the target’s HP to roughly equal the user’s HP.
Endure,Normal,Status,—,—,10,"Always left with at least 1 HP, but may fail if used consecutively.",The user endures any attack with at least 1 HP. This move’s chance of failing rises if used in succession.
Energy Ball,Grass,Special,90,100,10,May lower opponent's Special Defense.,The user draws power from nature and fires it at the target. This may also lower the target’s Sp. Def stat.
Entrainment,Normal,Status,—,100,15,Makes target's ability same as user's.,"The user dances with an odd rhythm that compels the target to mimic it, making the target’s Ability the same as the user’s."
Eruption,Fire,Special,150,100,5,Stronger when the user's HP is higher.,"The user attacks opposing Pokémon with explosive fury. The lower the user’s HP, the lower the move’s power."
Esper Wing,Psychic,Special,80,100,10,High critical hit ratio. Raises user's Speed.,The user slashes the target with aura-enriched wings. This also boosts the user’s Speed stat. This move has a heightened chance of landing a critical hit.
Eternabeam,Dragon,Special,160,90,5,User can't move on the next turn.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Expanding Force,Psychic,Special,80,100,10,Increases power and hits all opponents on Psychic Terrain.,"The user attacks the target with its psychic power. When the ground is Psychic Terrain, this move’s power is boosted and it damages all opposing Pokémon."
Explosion,Normal,Physical,250,100,5,User faints.,The user attacks everything around it by causing a tremendous explosion. The user faints upon using this move.
Extrasensory,Psychic,Special,80,100,20,May cause flinching.,"The user attacks with an odd, unseeable power. This may also make the target flinch."
Extreme Evoboost,Normal,Status,—,—,1,Eevee-exclusive Z-Move. Sharply raises all stats.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Extreme Speed,Normal,Physical,80,100,5,User attacks first.,The user charges the target at blinding speed. This move always goes first.
Facade,Normal,Physical,70,100,20,"Power doubles if user is burned, poisoned, or paralyzed.","This move’s power is doubled if the user is poisoned, burned, or paralyzed."
Fairy Lock,Fairy,Status,—,—,10,Prevents fleeing in the next turn.,"By locking down the battlefield, the user keeps all Pokémon from fleeing during the next turn."
Fairy Wind,Fairy,Special,40,100,30,,The user attacks by stirring up a fairy wind to strike the target.
Fake Out,Normal,Physical,40,100,10,"User attacks first, foe flinches. Only usable on first turn.",This attack hits first and makes the target flinch. It works only on the first turn each time the user enters battle.
Fake Tears,Dark,Status,—,100,20,Sharply lowers opponent's Special Defense.,The user feigns crying to fluster the target. This harshly lowers the target’s Sp. Def stat.
False Surrender,Dark,Physical,80,∞,10,Ignores Accuracy and Evasiveness.,"The user pretends to bow its head, but then it stabs the target with its disheveled hair. This attack never misses."
False Swipe,Normal,Physical,40,100,40,Always leaves opponent with at least 1 HP.,A restrained attack that prevents the target from fainting. The target is left with at least 1 HP.
Feather Dance,Flying,Status,—,100,15,Sharply lowers opponent's Attack.,The user covers the target’s body with a mass of down that harshly lowers its Attack stat.
Feint,Normal,Physical,30,100,10,Only hits if opponent uses Protect or Detect in the same turn.,This attack can hit a target using a move such as Protect or Detect. This also lifts the effects of those moves.
Feint Attack,Dark,Physical,60,∞,20,Ignores Accuracy and Evasiveness.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Fell Stinger,Bug,Physical,50,100,25,Drastically raises user's Attack if target is KO'd.,"When the user knocks out a target with this move, the user’s Attack stat is boosted drastically."
Fickle Beam,Dragon,Special,80,100,5,May deal double damage.,"Fickle Beam deals damage with 80 base power, however there is a 30% chance for the power to double to 160."
Fiery Dance,Fire,Special,80,100,10,May raise user's Special Attack.,"Cloaked in flames, the user attacks the target by dancing and flapping its wings. This may also boost the user’s Sp. Atk stat."
Fiery Wrath,Dark,Special,90,100,10,May cause flinching.,The user transforms its wrath into a fire-like aura to attack. This may also make opposing Pokémon flinch.
Fillet Away,Normal,Status,—,—,10,"Lowers HP but sharply boosts Attack, Special Attack, and Speed.","The user sharply boosts its Attack, Sp. Atk, and Speed stats by using its own HP."
Final Gambit,Fighting,Special,—,100,5,Inflicts damage equal to the user's remaining HP. User faints.,The user risks everything to attack the target. The user faints but inflicts damage equal to its own HP.
Fire Blast,Fire,Special,110,85,5,May burn opponent.,The target is attacked with an intense blast of all-consuming fire. This may also leave the target with a burn.
Fire Fang,Fire,Physical,65,95,15,May cause flinching and/or burn opponent.,The user bites with flame-cloaked fangs. This may also make the target flinch or leave it with a burn.
Fire Lash,Fire,Physical,80,100,15,The user strikes the target with a burning lash. This also lowers the target's Defense stat.,The user strikes the target with a burning lash. This also lowers the target’s Defense stat.
Fire Pledge,Fire,Special,80,100,10,Added effects appear if combined with Grass Pledge or Water Pledge.,"A column of fire hits the target. When used with its grass counterpart, this move’s power is boosted and a vast sea of fire appears."
Fire Punch,Fire,Physical,75,100,15,May burn opponent.,The target is attacked with a fiery punch. This may also leave the target with a burn.
Fire Spin,Fire,Special,35,85,15,"Traps opponent, damaging them for 4-5 turns.",The user traps the target inside a fierce vortex of fire that inflicts damage for four to five turns.
First Impression,Bug,Physical,90,100,10,"Although this move has great power, it only works the first turn the user is in battle.","Although this move has great power, it works only on the first turn each time the user enters battle."
Fishious Rend,Water,Physical,85,100,10,"If the user attacks before the target, the power of this move is doubled.",The user rends the target with its hard gills. This move’s power is doubled if the user moves before the target.
Fissure,Ground,Physical,—,30,5,"One-Hit-KO, if it hits.",The user opens up a fissure in the ground and drops the target in. The target faints instantly if this attack hits.
Flail,Normal,Physical,—,100,15,"The lower the user's HP, the higher the power.","The user flails about aimlessly to attack. The less HP the user has, the greater the move’s power."
Flame Burst,Fire,Special,70,100,15,May also injure nearby Pokémon.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Flame Charge,Fire,Physical,50,100,20,Raises user's Speed.,"Cloaking itself in flame, the user attacks the target. Then, building up momentum, the user boosts its Speed stat."
Flame Wheel,Fire,Physical,60,100,25,May burn opponent.,The user attacks by cloaking itself in fire and charging at the target. This may also leave the target with a burn.
Flamethrower,Fire,Special,90,100,15,May burn opponent.,The target is scorched with an intense blast of fire. This may also leave the target with a burn.
Flare Blitz,Fire,Physical,120,100,15,User receives recoil damage. May burn opponent.,The user cloaks itself in fire and charges the target to inflict damage. This also damages the user quite a lot and may leave the target with a burn.
Flash,Normal,Status,—,100,20,Lowers opponent's Accuracy.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Flash Cannon,Steel,Special,80,100,10,May lower opponent's Special Defense.,The user gathers all its light energy and releases it at once. This may also lower the target’s Sp. Def stat.
Flatter,Dark,Status,—,100,15,"Confuses opponent, but raises its Special Attack.","Flattery is used to confuse the target. However, this also boosts the target’s Sp. Atk stat."
Fleur Cannon,Fairy,Special,130,90,5,Sharply lowers user's Special Attack.,The user unleashes a strong beam. The recoil from this move harshly lowers the user’s Sp. Atk stat.
Fling,Dark,Physical,—,100,10,Power depends on held item.,The user flings its held item at the target to attack. This move’s power and effects depend on the item.
Flip Turn,Water,Physical,60,100,20,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting.","After making its attack, the user rushes back to switch places with a party Pokémon in waiting."
Floaty Fall,Flying,Physical,90,95,15,May cause flinching.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Floral Healing,Fairy,Status,—,—,10,The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.,The user restores the target’s HP by up to half its max HP. More HP is restored when the ground is Grassy Terrain.
Flower Shield,Fairy,Status,—,—,10,Sharply raises Defense of all Grass-type Pokémon on the field.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Flower Trick,Grass,Physical,70,∞,10,Never misses; always results in a critical hit.,The user throws a rigged bouquet of flowers at the target. This attack never misses and always lands a critical hit.
Fly,Flying,Physical,90,95,15,"Flies up on first turn, attacks on second turn.","The user flies up into the sky on the first turn, then attacks on the next turn."
Flying Press,Fighting,Physical,100,95,10,Deals Fighting and Flying type damage.,The user dives down onto the target from the sky. This move is Fighting and Flying type simultaneously.
Focus Blast,Fighting,Special,120,70,5,May lower opponent's Special Defense.,The user heightens its mental focus and unleashes its power. This may also lower the target’s Sp. Def stat.
Focus Energy,Normal,Status,—,—,30,Increases critical hit ratio.,The user takes a deep breath and focuses so that its future attacks have a heightened chance of landing critical hits.
Focus Punch,Fighting,Physical,150,100,20,"If the user is hit before attacking, it flinches instead.",The user focuses its mind before launching a punch. This move fails if the user is hit before using the move.
Follow Me,Normal,Status,—,—,20,"In Double Battle, the user takes all the attacks.","The user draws attention to itself, making all opposing Pokémon take aim only at the user."
Force Palm,Fighting,Physical,60,100,10,May paralyze opponent.,The target is attacked with a shock wave. This may also leave the target with paralysis.
Foresight,Normal,Status,—,—,40,"Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts.","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Forest's Curse,Grass,Status,—,100,20,Adds Grass type to opponent.,The user puts a forest curse on the target. This adds Grass type to the target’s type.
Foul Play,Dark,Physical,95,100,15,Uses the opponent's Attack stat.,"The user turns the target’s strength against it. The higher the target’s Attack stat, the greater the damage this move inflicts."
Freeze Shock,Ice,Physical,140,90,5,"Charges on first turn, attacks on second. May paralyze opponent.","The turn after using this move, the user hits the target with electrically charged ice to inflict damage. This may also leave the target with paralysis."
Freeze-Dry,Ice,Special,70,100,20,May freeze opponent. Super-effective against Water types.,The user rapidly cools the target. This may also leave the target frozen. This move is super effective on Water types.
Freezing Glare,Psychic,Special,90,100,10,May freeze opponent.,The user shoots its psychic power from its eyes to attack. This may also leave the target frozen.
Freezy Frost,Ice,Special,90,100,15,Resets all stat changes.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Frenzy Plant,Grass,Special,150,90,5,User must recharge next turn.,The user slams the target with the roots of an enormous tree. The user can’t move on the next turn.
Frost Breath,Ice,Special,60,90,10,Always results in a critical hit.,The user attacks by blowing its cold breath on the target. This move always lands a critical hit.
Frustration,Normal,Physical,—,100,20,Power decreases with higher Friendship.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Fury Attack,Normal,Physical,15,85,20,Hits 2-5 times in one turn.,"The user attacks by jabbing the target with a horn, a beak, or the like. This move hits two to five times in a row."
Fury Cutter,Bug,Physical,40,95,20,Power increases each turn.,"The user attacks by slashing the target with scythes, claws, or the like. This attack becomes more powerful if it hits in succession."
Fury Swipes,Normal,Physical,18,80,15,Hits 2-5 times in one turn.,"The user attacks by raking the target with claws, scythes, or the like. This move hits two to five times in a row."
Fusion Bolt,Electric,Physical,100,100,5,Power increases if Fusion Flare is used in the same turn.,The user throws down a giant lightning bolt. This move’s power is boosted when influenced by an enormous flame.
Fusion Flare,Fire,Special,100,100,5,Power increases if Fusion Bolt is used in the same turn.,The user brings down a giant flame. This move’s power is boosted when influenced by an enormous lightning bolt.
Future Sight,Psychic,Special,120,100,10,Damage occurs 2 turns later.,"Two turns after this move is used, a hunk of psychic energy attacks the target."
G-Max Befuddle,Bug,None,—,∞,5,"Butterfree-exclusive G-Max Move. Poisons, paralyzes, or puts opponent to sleep.","G-Max Befuddle is a G-Max Move from Pokemon Sword and Shield, exclusive to Butterfree. Bug type moves turn into G-Max Befuddle during Gigantamax."
G-Max Cannonade,Water,None,—,∞,10,Blastoise-exclusive G-Max Move. Damages non-Water types for 4 turns.,"G-Max Cannonade is a G-Max Move from the Pokemon Sword and Shield Expansion Pass, exclusive to Blastoise. Water type moves turn into G-Max Cannonade during Gigantamax."
G-Max Centiferno,Fire,None,—,∞,5,Centiskorch-exclusive G-Max Move. Traps opponents for 4-5 turns.,"G-Max Centiferno is a G-Max Move from Pokémon Sword and Shield, exclusive to Centiskorch. Fire type moves turn into G-Max Centiferno during Gigantamax."
G-Max Chi Strike,Fighting,None,—,∞,5,Machamp-exclusive G-Max Move. Increases critical hit ratio.,"G-Max Chi Strike is a G-Max Move from Pokémon Sword and Shield, exclusive to Machamp. Fighting type moves turn into G-Max Chi Strike during Gigantamax."
G-Max Cuddle,Normal,None,—,∞,5,Eevee-exclusive G-Max Move. Infatuates opponents.,"G-Max Cuddle is a G-Max Move from Pokemon Sword and Shield, exclusive to Eevee. Normal type moves turn into G-Max Cuddle during Gigantamax."
G-Max Depletion,Dragon,None,—,∞,5,Duraludon-exclusive G-Max Move. Reduces opponent's PP.,"G-Max Depletion is a G-Max Move from Pokémon Sword and Shield, exclusive to Duraludon. Dragon type moves turn into G-Max Depletion during Gigantamax."
G-Max Drum Solo,Grass,None,160,∞,5,Rillaboom-exclusive G-Max Move. Ignores target's ability.,"G-Max Drum Solo is a G-Max Move from the Pokemon Sword and Shield Expansion Pass, exclusive to Rillaboom. Grass type moves turn into G-Max Drum Solo during Gigantamax."
G-Max Finale,Fairy,None,—,∞,5,Alcremie-exclusive G-Max Move. Heals the user's team.,"G-Max Finale is a G-Max Move from Pokemon Sword and Shield, exclusive to Alcremie. Fairy type moves turn into G-Max Finale during Gigantamax."
G-Max Fireball,Fire,None,160,∞,5,Cinderace-exclusive G-Max Move. Ignores target's ability.,"G-Max Fireball is a G-Max Move from the Pokemon Sword and Shield Expansion Pass, exclusive to Cinderace. Fire type moves turn into G-Max Fireball during Gigantamax."
G-Max Foam Burst,Water,None,—,∞,5,Kingler-exclusive G-Max Move. Harshly lowers opponents' Speed.,"G-Max Foam Burst is a G-Max Move from Pokémon Sword and Shield, exclusive to Kingler. Water type moves turn into G-Max Foam Burst during Gigantamax."
G-Max Gold Rush,Normal,None,—,∞,5,Meowth-exclusive G-Max Move. Confuses opponents and earns more money.,"G-Max Gold Rush is a G-Max Move from Pokemon Sword and Shield, exclusive to Kantonian Meowth. Normal type moves turn into G-Max Gold Rush during Gigantamax."
G-Max Gravitas,Psychic,None,—,∞,5,Orbeetle-exclusive G-Max Move. Summons Gravity for 5 turns.,"G-Max Gravitas is a G-Max Move from Pokémon Sword and Shield, exclusive to Orbeetle. Psychic type moves turn into G-Max Gravitas during Gigantamax."
G-Max Hydrosnipe,Water,None,160,∞,5,Inteleon-exclusive G-Max Move. Ignores target's ability.,"G-Max Hydrosnipe is a G-Max Move from the Pokemon Sword and Shield Expansion Pass, exclusive to Inteleon. Water type moves turn into G-Max Hydrosnipe during Gigantamax."
G-Max Malodor,Poison,None,—,∞,5,Garbodor-exclusive G-Max Move. Poisons opponents.,"G-Max Malodor is a G-Max Move from Pokémon Sword and Shield, exclusive to Garbodor. Poison type moves turn into G-Max Malodor during Gigantamax."
G-Max Meltdown,Steel,None,—,∞,5,Melmetal-exclusive G-Max Move. Prevents opponents using the same move twice in a row.,"G-Max Meltdown is a G-Max Move from Pokémon Sword and Shield, exclusive to Melmetal. Steel type moves turn into G-Max Meltdown during Gigantamax."
G-Max One Blow,Dark,None,—,∞,5,Urshifu Single-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.,"G-Max One Blow is a G-Max Move from the Pokemon Sword and Shield Expansion Pass, exclusive to Urshifu (Single Strike Style). Dark type moves turn into G-Max One Blow during Gigantamax."
G-Max Rapid Flow,Water,None,—,∞,5,Urshifu Rapid-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.,"G-Max Rapid Flow is a G-Max Move from the Pokemon Sword and Shield Expansion Pass, exclusive to Urshifu (Rapid Strike Style). Water type moves turn into G-Max Rapid Flow during Gigantamax."
G-Max Replenish,Normal,None,—,∞,5,Snorlax-exclusive G-Max Move. Recycles Berries.,"G-Max Replenish is a G-Max Move from Pokémon Sword and Shield, exclusive to Snorlax. Normal type moves turn into G-Max Replenish during Gigantamax."
G-Max Resonance,Ice,None,—,∞,5,Lapras-exclusive G-Max Move. Reduces damage for 5 turns.,"G-Max Resonance is a G-Max Move from Pokemon Sword and Shield, exclusive to Lapras. Ice type moves turn into G-Max Resonance during Gigantamax."
G-Max Sandblast,Ground,None,—,∞,5,Sandaconda-exclusive G-Max Move. Traps opponents for 4-5 turns.,"G-Max Sandblast is a G-Max Move from Pokémon Sword and Shield, exclusive to Sandaconda. Ground type moves turn into G-Max Sandblast during Gigantamax."
G-Max Smite,Fairy,None,—,∞,5,Hatterene-exclusive G-Max Move. Confuses opponents.,"G-Max Smite is a G-Max Move from Pokemon Sword and Shield, exclusive to Hatterene. Fairy type moves turn into G-Max Smite during Gigantamax."
G-Max Snooze,Dark,None,—,∞,5,Grimmsnarl-exclusive G-Max Move. Makes opponents drowsy.,"G-Max Snooze is a G-Max Move from Pokémon Sword and Shield, exclusive to Grimmsnarl. Dark type moves turn into G-Max Snooze during Gigantamax."
G-Max Steelsurge,Steel,None,—,∞,5,Copperajah-exclusive G-Max Move. Sets up Spikes on the field.,"G-Max Steelsurge is a G-Max Move from Pokémon Sword and Shield, exclusive to Copperajah. Steel type moves turn into G-Max Steelsurge during Gigantamax."
G-Max Stonesurge,Water,None,—,∞,5,Drednaw-exclusive G-Max Move. Sets up Stealth Rock.,"G-Max Stonesurge is a G-Max Move from Pokemon Sword and Shield, exclusive to Drednaw. Water type moves turn into G-Max Stonesurge during Gigantamax."
G-Max Stun Shock,Electric,None,—,∞,10,Toxtricity-exclusive G-Max Move. Poisons or paralyzes opponents.,"G-Max Stun Shock is a G-Max Move from Pokémon Sword and Shield, exclusive to Toxtricity. Electric type moves turn into G-Max Stun Shock during Gigantamax."
G-Max Sweetness,Grass,None,—,∞,10,Appletun-exclusive G-Max Move. Heals status conditions of user's team.,"G-Max Sweetness is a G-Max Move from Pokémon Sword and Shield, exclusive to Appletun. Grass type moves turn into G-Max Sweetness during Gigantamax."
G-Max Tartness,Grass,None,—,∞,10,Flapple-exclusive G-Max Move. Reduces opponents' evasiveness.,"G-Max Tartness is a G-Max Move from Pokémon Sword and Shield, exclusive to Flapple. Grass type moves turn into G-Max Tartness during Gigantamax."
G-Max Terror,Ghost,None,—,∞,10,Gengar-exclusive G-Max Move. Prevents opponent from switching out.,"G-Max Terror is a G-Max Move from Pokémon Sword and Shield, exclusive to Gengar. Ghost type moves turn into G-Max Terror during Gigantamax."
G-Max Vine Lash,Grass,None,—,∞,10,Venusaur-exclusive G-Max Move. Damages non-Grass types for 4 turns.,"G-Max Vine Lash is a G-Max Move from the Pokemon Sword and Shield Expansion Pass, exclusive to Venusaur. Grass type moves turn into G-Max Vine Lash during Gigantamax."
G-Max Volcalith,Rock,None,—,∞,10,Coalossal-exclusive G-Max Move. Deals damage for 4 turns.,"G-Max Volcalith is a G-Max Move from Pokémon Sword and Shield, exclusive to Coalossal. Rock type moves turn into G-Max Volcalith during Gigantamax."
G-Max Volt Crash,Electric,None,—,∞,10,Pikachu-exclusive G-Max Move. Paralyzes opponents.,"G-Max Volt Crash is a G-Max Move from Pokemon Sword and Shield, exclusive to Pikachu. Electric type moves turn into G-Max Volt Crash during Gigantamax."
G-Max Wildfire,Fire,None,—,∞,10,Charizard-exclusive G-Max Move. Damages non-Fire types for 4 turns.,"G-Max Wildfire is a G-Max Move from Pokemon Sword and Shield, exclusive to Charizard. Fire type moves turn into G-Max Wildfire during Gigantamax."
G-Max Wind Rage,Flying,None,—,∞,10,Corviknight-exclusive G-Max Move. Removes battlefield hazards.,"G-Max Wind Rage is a G-Max Move from Pokemon Sword and Shield, exclusive to Corviknight. Flying type moves turn into G-Max Wind Rage during Gigantamax."
Gastro Acid,Poison,Status,—,100,10,Cancels out the effect of the opponent's Ability.,The user hurls up its stomach acids on the target. The fluid eliminates the effect of the target’s Ability.
Gear Grind,Steel,Physical,50,85,15,Hits twice in one turn.,The user attacks by throwing steel gears at the target twice in a row.
Gear Up,Steel,Status,—,—,20,The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Genesis Supernova,Psychic,Special,185,—,1,Mew-exclusive Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Geomancy,Fairy,Status,—,—,10,"Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second.","The user absorbs energy on the first turn, then sharply boosts its Sp. Atk, Sp. Def, and Speed stats on the next turn."
Giga Drain,Grass,Special,75,100,10,User recovers half the HP inflicted on opponent.,A nutrient-draining attack. The user’s HP is restored by up to half the damage taken by the target.
Giga Impact,Normal,Physical,150,90,5,User must recharge next turn.,The user charges at the target using every bit of its power. The user can’t move on the next turn.
Gigaton Hammer,Steel,Physical,160,100,5,Cannot be used twice in a row.,The user swings its whole body around to attack with its huge hammer. This move can’t be used twice in a row.
Gigavolt Havoc,Electric,None,—,—,1,Electric type Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Glacial Lance,Ice,Physical,120,100,5,The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.,The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.
Glaciate,Ice,Special,65,95,10,Lowers opponent's Speed.,The user attacks by blowing freezing cold air at opposing Pokémon. This also lowers their Speed stats.
Glaive Rush,Dragon,Physical,120,100,5,Attacks from opposing Pokémon during the next turn cannot miss and will inflict double damage.,The user throws its entire body into a reckless charge. Attacks from opposing Pokémon during the next turn cannot miss and will inflict double damage.
Glare,Normal,Status,—,100,30,Paralyzes opponent.,The user intimidates the target with the pattern on its belly to cause paralysis.
Glitzy Glow,Psychic,Special,90,100,15,Reduces damage from Special attacks.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Grass Knot,Grass,Special,—,100,20,"The heavier the opponent, the stronger the attack.","The user snares the target with grass and trips it. The heavier the target, the greater the move’s power."
Grass Pledge,Grass,Special,80,100,10,Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.,"A column of grass hits the target. When used with its water counterpart, this move’s power is boosted and a vast swamp appears."
Grass Whistle,Grass,Status,—,55,15,Puts opponent to sleep.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Grassy Glide,Grass,Physical,55,100,20,High priority during Grassy Terrain.,"Gliding on the ground, the user attacks the target. This move always goes first on Grassy Terrain."
Grassy Terrain,Grass,Status,—,—,10,Restores a little HP of all Pokémon for 5 turns.,The user turns the ground into Grassy Terrain for five turns. This restores the HP of Pokémon on the ground a little every turn and powers up Grass-type moves.
Grav Apple,Grass,Physical,80,100,10,Lowers the opponent's Defense stat.,The user inflicts damage by dropping an apple from high above. This also lowers the target’s Defense stat.
Gravity,Psychic,Status,—,—,5,Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.,Enables Flying types or Pokémon with the Levitate Ability to be hit by Ground-type moves for five turns. Moves that involve flying can’t be used.
Growl,Normal,Status,—,100,40,Lowers opponent's Attack.,"The user growls in an endearing way, making opposing Pokémon less wary. This lowers their Attack stats."
Growth,Normal,Status,—,—,20,Raises user's Attack and Special Attack.,"The user’s body grows all at once, boosting the Attack and Sp. Atk stats."
Grudge,Ghost,Status,—,—,5,"If the users faints after using this move, the PP for the opponent's last move is depleted.","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Guard Split,Psychic,Status,—,—,10,Averages Defense and Special Defense with the target.,The user employs its psychic power to average its Defense and Sp. Def stats with those of the target.
Guard Swap,Psychic,Status,—,—,10,User and opponent swap Defense and Special Defense.,The user employs its psychic power to switch changes to its Defense and Sp. Def stats with the target.
Guardian of Alola,Fairy,Special,—,—,1,Tapu-exclusive Z-move. Cuts opponent's HP by 75%.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Guillotine,Normal,Physical,—,30,5,"One-Hit-KO, if it hits.",A vicious tearing attack with big pincers. The target faints instantly if this attack hits.
Gunk Shot,Poison,Physical,120,80,5,May poison opponent.,The user shoots filthy garbage at the target to attack. This may also poison the target.
Gust,Flying,Special,40,100,35,Hits Pokémon using Fly/Bounce/Sky Drop with double power.,A gust of wind is whipped up by wings and launched at the target to inflict damage.
