Name,Level-Up Learnset,TM Learnset,Egg Moves
Panpour,"— : Tackle,— : Aqua Ring,— : Work Up,4 : Leer,7 : Lick,10 : Water Gun,16 : Bubble Beam,19 : Bite,25 : Taunt,28 : Headbutt,32 : Hydro Pump,36 : Crunch,43 : Focus Blast,","TM001 : Headbutt,TM009 : Flip Turn,TM010 : Brick Break,TM012 : Rock Slide,TM013 : Ice Beam,TM017 : Protect,TM018 : Power-Up Punch,TM024 : Ice Punch,TM025 : Crunch,TM027 : Swift,TM028 : Dig,TM035 : Endure,TM036 : Rock Tomb,TM046 : Mud Shot,TM049 : Icy Wind,TM061 : Shadow Claw,TM073 : Surf,TM083 : Nasty Plot,TM085 : Substitute,TM087 : Iron Tail,TM095 : Taunt,TM096 : Hydro Pump,TM098 : Waterfall,TM100 : Gunk Shot,TM102 : Focus Blast,TM103 : Work Up,TM105 : Blizzard,TM109 : Facade,TM110 : Chilling Water,TM113 : Low Sweep,TM148 : Scald,",No Egg Moves
Simipour,"— : Tackle,— : Aqua Ring,— : Work Up,4 : Leer,7 : Lick,10 : Water Gun,16 : Bubble Beam,19 : Bite,25 : Taunt,28 : Headbutt,32 : Hydro Pump,36 : Crunch,43 : Focus Blast,","TM001 : Headbutt,TM009 : Flip Turn,TM010 : Brick Break,TM012 : Rock Slide,TM013 : Ice Beam,TM017 : Protect,TM018 : Power-Up Punch,TM024 : Ice Punch,TM025 : Crunch,TM027 : Swift,TM028 : Dig,TM035 : Endure,TM036 : Rock Tomb,TM044 : Hyper Beam,TM046 : Mud Shot,TM049 : Icy Wind,TM055 : Giga Impact,TM061 : Shadow Claw,TM073 : Surf,TM076 : Liquidation,TM083 : Nasty Plot,TM085 : Substitute,TM087 : Iron Tail,TM095 : Taunt,TM096 : Hydro Pump,TM098 : Waterfall,TM100 : Gunk Shot,TM102 : Focus Blast,TM103 : Work Up,TM105 : Blizzard,TM109 : Facade,TM110 : Chilling Water,TM113 : Low Sweep,TM141 : Fake Out,TM148 : Scald,",No Egg Moves
Meditite,"— : Confusion,— : Work Up,9 : Detect,12 : Endure,14 : Rock Smash,16 : Bullet Punch,20 : Psybeam,23 : Calm Mind,25 : Zen Headbutt,30 : Take Down,41 : Recover,52 : Dynamic Punch,","TM003 : Psyshock,TM004 : Rock Smash,TM006 : Calm Mind,TM010 : Brick Break,TM011 : Bulk Up,TM012 : Rock Slide,TM016 : Light Screen,TM017 : Protect,TM018 : Power-Up Punch,TM022 : Aerial Ace,TM023 : Thunder Punch,TM024 : Ice Punch,TM027 : Swift,TM029 : Fire Punch,TM031 : Reflect,TM033 : Body Slam,TM035 : Endure,TM036 : Rock Tomb,TM059 : Zen Headbutt,TM063 : Psychic,TM074 : Shadow Ball,TM077 : Poison Jab,TM085 : Substitute,TM095 : Taunt,TM099 : Metronome,TM102 : Focus Blast,TM103 : Work Up,TM107 : Close Combat,TM109 : Facade,TM113 : Low Sweep,TM115 : Trailblaze,TM131 : Drain Punch,TM141 : Fake Out,","Fire Punch,Ice Punch,Thunder Punch,Dynamic Punch,Baton Pass,Fake Out,Power Swap,Guard Swap,Bullet Punch,Psycho Cut,Quick Guard,"
Medicham,"— : Fire Punch,— : Ice Punch,— : Thunder Punch,— : Confusion,— : Work Up,9 : Detect,12 : Endure,14 : Rock Smash,16 : Bullet Punch,20 : Psybeam,23 : Calm Mind,25 : Zen Headbutt,30 : Take Down,34 : Agility,41 : Recover,52 : Dynamic Punch,","TM003 : Psyshock,TM004 : Rock Smash,TM006 : Calm Mind,TM010 : Brick Break,TM011 : Bulk Up,TM012 : Rock Slide,TM016 : Light Screen,TM017 : Protect,TM018 : Power-Up Punch,TM022 : Aerial Ace,TM023 : Thunder Punch,TM024 : Ice Punch,TM027 : Swift,TM029 : Fire Punch,TM031 : Reflect,TM033 : Body Slam,TM035 : Endure,TM036 : Rock Tomb,TM044 : Hyper Beam,TM047 : Agility,TM055 : Giga Impact,TM059 : Zen Headbutt,TM063 : Psychic,TM074 : Shadow Ball,TM077 : Poison Jab,TM085 : Substitute,TM095 : Taunt,TM099 : Metronome,TM102 : Focus Blast,TM103 : Work Up,TM107 : Close Combat,TM108 : Comet Punch,TM109 : Facade,TM113 : Low Sweep,TM115 : Trailblaze,TM131 : Drain Punch,TM133 : Blaze Kick,TM141 : Fake Out,TM150 : Vacuum Wave,","Fire Punch,Ice Punch,Thunder Punch,Dynamic Punch,Baton Pass,Fake Out,Power Swap,Guard Swap,Bullet Punch,Psycho Cut,Quick Guard,"
Electrike,"— : Tackle,— : Leer,— : Quick Attack,8 : Thunder Shock,12 : Thunder Wave,16 : Spark,20 : Bite,22 : Eerie Impulse,24 : Thunder Fang,28 : Roar,30 : Snarl,36 : Charge,40 : Thunderbolt,44 : Wild Charge,50 : Thunder,","TM001 : Headbutt,TM005 : Roar,TM008 : Thunder Wave,TM014 : Fire Fang,TM015 : Ice Fang,TM016 : Light Screen,TM017 : Protect,TM021 : Thunder Fang,TM025 : Crunch,TM027 : Swift,TM033 : Body Slam,TM035 : Endure,TM039 : Discharge,TM047 : Agility,TM062 : Flamethrower,TM066 : Volt Switch,TM067 : Thunderbolt,TM085 : Substitute,TM086 : Wild Charge,TM091 : Curse,TM106 : Thunder,TM109 : Facade,TM124 : Psychic Fangs,",No Egg Moves
Manectric,"— : Tackle,— : Leer,— : Quick Attack,— : Fire Fang,8 : Thunder Shock,12 : Thunder Wave,16 : Spark,20 : Bite,22 : Eerie Impulse,24 : Thunder Fang,28 : Roar,30 : Snarl,36 : Charge,40 : Thunderbolt,44 : Wild Charge,50 : Thunder,","TM001 : Headbutt,TM005 : Roar,TM008 : Thunder Wave,TM014 : Fire Fang,TM015 : Ice Fang,TM016 : Light Screen,TM017 : Protect,TM021 : Thunder Fang,TM025 : Crunch,TM027 : Swift,TM033 : Body Slam,TM035 : Endure,TM039 : Discharge,TM044 : Hyper Beam,TM047 : Agility,TM050 : Overheat,TM055 : Giga Impact,TM062 : Flamethrower,TM066 : Volt Switch,TM067 : Thunderbolt,TM071 : Hyper Voice,TM085 : Substitute,TM086 : Wild Charge,TM091 : Curse,TM106 : Thunder,TM109 : Facade,TM114 : Flame Charge,TM115 : Trailblaze,TM124 : Psychic Fangs,TM130 : Charge Beam,TM145 : Razor Wind,",No Egg Moves
Ralts,"— : Growl,— : Disarming Voice,6 : Confusion,9 : Hypnosis,12 : Draining Kiss,15 : Teleport,18 : Psybeam,20 : Magical Leaf,24 : Confuse Ray,28 : Charm,30 : Double Team,35 : Calm Mind,38 : Psychic,44 : Mystical Fire,58 : Future Sight,","TM003 : Psyshock,TM006 : Calm Mind,TM008 : Thunder Wave,TM016 : Light Screen,TM017 : Protect,TM023 : Thunder Punch,TM024 : Ice Punch,TM027 : Swift,TM029 : Fire Punch,TM031 : Reflect,TM032 : Double Team,TM033 : Body Slam,TM035 : Endure,TM049 : Icy Wind,TM057 : Will-O-Wisp,TM059 : Zen Headbutt,TM060 : Future Sight,TM063 : Psychic,TM067 : Thunderbolt,TM071 : Hyper Voice,TM074 : Shadow Ball,TM085 : Substitute,TM095 : Taunt,TM099 : Metronome,TM109 : Facade,TM127 : Dream Eater,TM130 : Charge Beam,","Disable,Confuse Ray,Destiny Bond,Mean Look,Memento,Knock Off,Shadow Sneak,Mystical Fire,"
Kirlia,"— : Growl,— : Disarming Voice,6 : Confusion,9 : Hypnosis,12 : Draining Kiss,15 : Teleport,18 : Psybeam,20 : Magical Leaf,24 : Confuse Ray,28 : Charm,30 : Double Team,35 : Calm Mind,38 : Psychic,44 : Mystical Fire,58 : Future Sight,","TM003 : Psyshock,TM006 : Calm Mind,TM008 : Thunder Wave,TM016 : Light Screen,TM017 : Protect,TM023 : Thunder Punch,TM024 : Ice Punch,TM027 : Swift,TM029 : Fire Punch,TM031 : Reflect,TM032 : Double Team,TM033 : Body Slam,TM035 : Endure,TM044 : Hyper Beam,TM049 : Icy Wind,TM057 : Will-O-Wisp,TM059 : Zen Headbutt,TM060 : Future Sight,TM063 : Psychic,TM067 : Thunderbolt,TM071 : Hyper Voice,TM074 : Shadow Ball,TM085 : Substitute,TM095 : Taunt,TM099 : Metronome,TM109 : Facade,TM127 : Dream Eater,TM130 : Charge Beam,TM144 : Triple Axel,TM150 : Vacuum Wave,","Disable,Confuse Ray,Destiny Bond,Mean Look,Memento,Knock Off,Shadow Sneak,Mystical Fire,"
Gardevoir,"Evolve : Dazzling Gleam,— : Growl,— : Disarming Voice,6 : Confusion,9 : Hypnosis,12 : Draining Kiss,15 : Teleport,18 : Psybeam,20 : Magical Leaf,24 : Confuse Ray,28 : Charm,30 : Double Team,32 : Wish,35 : Calm Mind,38 : Psychic,44 : Mystical Fire,49 : Moonblast,58 : Future Sight,","TM003 : Psyshock,TM006 : Calm Mind,TM008 : Thunder Wave,TM016 : Light Screen,TM017 : Protect,TM023 : Thunder Punch,TM024 : Ice Punch,TM026 : Energy Ball,TM027 : Swift,TM029 : Fire Punch,TM031 : Reflect,TM032 : Double Team,TM033 : Body Slam,TM035 : Endure,TM044 : Hyper Beam,TM049 : Icy Wind,TM051 : Safeguard,TM055 : Giga Impact,TM057 : Will-O-Wisp,TM059 : Zen Headbutt,TM060 : Future Sight,TM063 : Psychic,TM067 : Thunderbolt,TM071 : Hyper Voice,TM074 : Shadow Ball,TM085 : Substitute,TM092 : Dazzling Gleam,TM095 : Taunt,TM099 : Metronome,TM102 : Focus Blast,TM109 : Facade,TM121 : Torment,TM125 : Mimic,TM127 : Dream Eater,TM130 : Charge Beam,TM139 : Swagger,TM144 : Triple Axel,TM150 : Vacuum Wave,","Disable,Confuse Ray,Destiny Bond,Mean Look,Memento,Knock Off,Shadow Sneak,Mystical Fire,"
Gallade,"Evolve : Slash,— : Psychic,— : Confuse Ray,— : Charm,— : Future Sight,— : Magical Leaf,— : Calm Mind,— : Night Slash,— : Sacred Sword,— : Draining Kiss,— : Mystical Fire,— : Growl,— : Psybeam,— : Hypnosis,— : Disarming Voice,6 : Confusion,15 : Teleport,18 : Aerial Ace,28 : Protect,30 : Double Team,35 : Swords Dance,42 : Psycho Cut,50 : Leaf Blade,58 : Close Combat,","TM003 : Psyshock,TM006 : Calm Mind,TM008 : Thunder Wave,TM010 : Brick Break,TM011 : Bulk Up,TM016 : Light Screen,TM017 : Protect,TM022 : Aerial Ace,TM023 : Thunder Punch,TM024 : Ice Punch,TM026 : Energy Ball,TM027 : Swift,TM029 : Fire Punch,TM030 : Swords Dance,TM031 : Reflect,TM032 : Double Team,TM033 : Body Slam,TM034 : Night Slash,TM035 : Endure,TM036 : Rock Tomb,TM044 : Hyper Beam,TM045 : Knock Off,TM047 : Agility,TM049 : Icy Wind,TM051 : Safeguard,TM055 : Giga Impact,TM057 : Will-O-Wisp,TM059 : Zen Headbutt,TM060 : Future Sight,TM061 : Shadow Claw,TM063 : Psychic,TM065 : Stone Edge,TM067 : Thunderbolt,TM069 : Earthquake,TM071 : Hyper Voice,TM074 : Shadow Ball,TM081 : X-Scissor,TM085 : Substitute,TM092 : Dazzling Gleam,TM095 : Taunt,TM099 : Metronome,TM107 : Close Combat,TM108 : Comet Punch,TM109 : Facade,TM113 : Low Sweep,TM122 : False Swipe,TM127 : Dream Eater,TM130 : Charge Beam,TM131 : Drain Punch,TM135 : Dual Chop,TM144 : Triple Axel,TM145 : Razor Wind,TM150 : Vacuum Wave,TM152 : Solar Blade,","Disable,Confuse Ray,Destiny Bond,Mean Look,Memento,Knock Off,Shadow Sneak,Mystical Fire,"
Houndour,"— : Leer,— : Ember,6 : Tackle,13 : Roar,16 : Bite,24 : Take Down,28 : Fire Fang,44 : Flamethrower,49 : Crunch,52 : Nasty Plot,","TM001 : Headbutt,TM005 : Roar,TM014 : Fire Fang,TM017 : Protect,TM025 : Crunch,TM033 : Body Slam,TM035 : Endure,TM038 : Fire Blast,TM046 : Mud Shot,TM050 : Overheat,TM053 : Sludge Bomb,TM056 : Double-Edge,TM057 : Will-O-Wisp,TM062 : Flamethrower,TM064 : Solar Beam,TM068 : Heat Wave,TM071 : Hyper Voice,TM072 : Fire Spin,TM074 : Shadow Ball,TM083 : Nasty Plot,TM085 : Substitute,TM090 : Dark Pulse,TM095 : Taunt,TM104 : Flare Blitz,TM109 : Facade,TM114 : Flame Charge,TM115 : Trailblaze,TM121 : Torment,TM124 : Psychic Fangs,","Counter,Fire Spin,Reversal,Spite,Destiny Bond,Feint,Sucker Punch,Thunder Fang,"
Houndoom,"— : Leer,— : Ember,— : Nasty Plot,6 : Tackle,13 : Roar,16 : Bite,21 : Snarl,24 : Take Down,28 : Fire Fang,34 : Dark Pulse,44 : Flamethrower,49 : Crunch,55 : Overheat,","TM001 : Headbutt,TM005 : Roar,TM007 : Toxic,TM014 : Fire Fang,TM017 : Protect,TM021 : Thunder Fang,TM025 : Crunch,TM033 : Body Slam,TM035 : Endure,TM038 : Fire Blast,TM044 : Hyper Beam,TM046 : Mud Shot,TM050 : Overheat,TM053 : Sludge Bomb,TM055 : Giga Impact,TM056 : Double-Edge,TM057 : Will-O-Wisp,TM062 : Flamethrower,TM064 : Solar Beam,TM068 : Heat Wave,TM071 : Hyper Voice,TM072 : Fire Spin,TM074 : Shadow Ball,TM083 : Nasty Plot,TM085 : Substitute,TM090 : Dark Pulse,TM095 : Taunt,TM104 : Flare Blitz,TM109 : Facade,TM114 : Flame Charge,TM115 : Trailblaze,TM121 : Torment,TM124 : Psychic Fangs,TM127 : Dream Eater,TM139 : Swagger,","Counter,Fire Spin,Reversal,Spite,Destiny Bond,Feint,Sucker Punch,Thunder Fang,"
Swablu,"— : Growl,— : Peck,4 : Disarming Voice,8 : Mist,20 : Dragon Breath,24 : Safeguard,32 : Cotton Guard,35 : Twister,37 : Take Down,40 : Moonblast,44 : Feather Dance,50 : Brave Bird,55 : Dragon Rush,60 : Perish Song,","TM013 : Ice Beam,TM017 : Protect,TM020 : Play Rough,TM022 : Aerial Ace,TM027 : Swift,TM033 : Body Slam,TM035 : Endure,TM043 : Fly,TM047 : Agility,TM051 : Safeguard,TM064 : Solar Beam,TM068 : Heat Wave,TM071 : Hyper Voice,TM075 : Dragon Pulse,TM079 : Hurricane,TM085 : Substitute,TM092 : Dazzling Gleam,TM093 : Outrage,TM109 : Facade,TM111 : Sing,TM115 : Trailblaze,TM127 : Dream Eater,TM134 : Dual Wingbeat,","Haze,Feather Dance,Astonish,Roost,Tailwind,Dragon Rush,Defog,"
Altaria,"Evolve : Dragon Pulse,— : Growl,— : Peck,4 : Disarming Voice,8 : Mist,20 : Dragon Breath,24 : Safeguard,32 : Cotton Guard,35 : Twister,37 : Take Down,40 : Moonblast,44 : Feather Dance,50 : Brave Bird,55 : Dragon Rush,60 : Perish Song,","TM002 : Dragon Claw,TM005 : Roar,TM013 : Ice Beam,TM017 : Protect,TM020 : Play Rough,TM022 : Aerial Ace,TM027 : Swift,TM033 : Body Slam,TM035 : Endure,TM043 : Fly,TM044 : Hyper Beam,TM047 : Agility,TM051 : Safeguard,TM054 : Draco Meteor,TM055 : Giga Impact,TM057 : Will-O-Wisp,TM062 : Flamethrower,TM064 : Solar Beam,TM068 : Heat Wave,TM069 : Earthquake,TM071 : Hyper Voice,TM072 : Fire Spin,TM075 : Dragon Pulse,TM078 : Bulldoze,TM079 : Hurricane,TM085 : Substitute,TM092 : Dazzling Gleam,TM093 : Outrage,TM109 : Facade,TM111 : Sing,TM115 : Trailblaze,TM117 : Silver Wind,TM122 : False Swipe,TM127 : Dream Eater,TM134 : Dual Wingbeat,TM151 : Petal Dance,TM153 : Sky Attack,","Haze,Feather Dance,Astonish,Roost,Tailwind,Dragon Rush,Defog,"
Audino,"— : Tackle,— : Growl,4 : Disarming Voice,8 : Icy Wind,16 : Draining Kiss,20 : Zen Headbutt,24 : Amnesia,32 : Take Down,36 : Wish,40 : Hyper Voice,48 : Double-Edge,","TM003 : Psyshock,TM006 : Calm Mind,TM008 : Thunder Wave,TM013 : Ice Beam,TM016 : Light Screen,TM017 : Protect,TM018 : Power-Up Punch,TM023 : Thunder Punch,TM024 : Ice Punch,TM028 : Dig,TM029 : Fire Punch,TM031 : Reflect,TM033 : Body Slam,TM035 : Endure,TM038 : Fire Blast,TM044 : Hyper Beam,TM049 : Icy Wind,TM051 : Safeguard,TM055 : Giga Impact,TM056 : Double-Edge,TM059 : Zen Headbutt,TM062 : Flamethrower,TM063 : Psychic,TM064 : Solar Beam,TM067 : Thunderbolt,TM071 : Hyper Voice,TM073 : Surf,TM074 : Shadow Ball,TM085 : Substitute,TM086 : Wild Charge,TM087 : Iron Tail,TM092 : Dazzling Gleam,TM103 : Work Up,TM105 : Blizzard,TM106 : Thunder,TM109 : Facade,TM131 : Drain Punch,TM147 : Tri Attack,",No Egg Moves
Spritzee,"— : Fairy Wind,8 : Fake Tears,10 : Disarming Voice,15 : Draining Kiss,22 : Wish,24 : Psybeam,27 : Dazzling Gleam,30 : Charm,33 : Calm Mind,36 : Moonblast,40 : Psychic,44 : Heal Block,48 : Hypnosis,","TM006 : Calm Mind,TM016 : Light Screen,TM017 : Protect,TM026 : Energy Ball,TM031 : Reflect,TM035 : Endure,TM063 : Psychic,TM067 : Thunderbolt,TM083 : Nasty Plot,TM084 : Flash Cannon,TM085 : Substitute,TM092 : Dazzling Gleam,TM097 : Heal Block,TM109 : Facade,",No Egg Moves
Aromatisse,"— : Fairy Wind,8 : Fake Tears,10 : Disarming Voice,15 : Draining Kiss,22 : Wish,24 : Psybeam,27 : Dazzling Gleam,30 : Charm,33 : Calm Mind,36 : Moonblast,40 : Psychic,44 : Heal Block,48 : Hypnosis,","TM003 : Psyshock,TM006 : Calm Mind,TM016 : Light Screen,TM017 : Protect,TM026 : Energy Ball,TM031 : Reflect,TM035 : Endure,TM044 : Hyper Beam,TM055 : Giga Impact,TM063 : Psychic,TM067 : Thunderbolt,TM083 : Nasty Plot,TM084 : Flash Cannon,TM085 : Substitute,TM092 : Dazzling Gleam,TM097 : Heal Block,TM099 : Metronome,TM109 : Facade,TM117 : Silver Wind,TM119 : Ominous Wind,TM127 : Dream Eater,TM130 : Charge Beam,TM131 : Drain Punch,",No Egg Moves
Swirlix,"— : Tackle,— : Charm,6 : Fairy Wind,12 : Draining Kiss,15 : Fake Tears,18 : Amnesia,21 : String Shot,24 : Cotton Guard,27 : Energy Ball,32 : Wish,36 : Play Rough,40 : Sticky Web,","TM006 : Calm Mind,TM016 : Light Screen,TM017 : Protect,TM020 : Play Rough,TM026 : Energy Ball,TM030 : Swords Dance,TM035 : Endure,TM048 : Self-Destruct,TM051 : Safeguard,TM062 : Flamethrower,TM063 : Psychic,TM067 : Thunderbolt,TM073 : Surf,TM085 : Substitute,TM092 : Dazzling Gleam,TM109 : Facade,",No Egg Moves
Slurpuff,"— : Tackle,— : Charm,6 : Fairy Wind,12 : Draining Kiss,15 : Fake Tears,18 : Amnesia,21 : String Shot,24 : Cotton Guard,27 : Energy Ball,32 : Wish,36 : Play Rough,40 : Sticky Web,","TM006 : Calm Mind,TM016 : Light Screen,TM017 : Protect,TM020 : Play Rough,TM026 : Energy Ball,TM030 : Swords Dance,TM035 : Endure,TM044 : Hyper Beam,TM048 : Self-Destruct,TM051 : Safeguard,TM055 : Giga Impact,TM062 : Flamethrower,TM063 : Psychic,TM067 : Thunderbolt,TM073 : Surf,TM085 : Substitute,TM092 : Dazzling Gleam,TM099 : Metronome,TM109 : Facade,TM117 : Silver Wind,TM119 : Ominous Wind,TM127 : Dream Eater,TM131 : Drain Punch,",No Egg Moves
Eevee,"— : Tackle,— : Tail Whip,— : Growl,10 : Quick Attack,15 : Disarming Voice,20 : Swift,25 : Bite,30 : Wish,40 : Take Down,45 : Charm,50 : Double-Edge,","TM005 : Roar,TM006 : Calm Mind,TM017 : Protect,TM027 : Swift,TM028 : Dig,TM033 : Body Slam,TM035 : Endure,TM056 : Double-Edge,TM071 : Hyper Voice,TM074 : Shadow Ball,TM085 : Substitute,TM087 : Iron Tail,TM109 : Facade,TM115 : Trailblaze,TM125 : Mimic,","Double Kick,Curse,Flail,Mud-Slap,Detect,Wish,Yawn,Tickle,"
Vaporeon,"Evolve : Water Gun,— : Take Down,— : Double-Edge,— : Swift,— : Charm,— : Wish,— : Tackle,— : Tail Whip,— : Bite,— : Growl,10 : Quick Attack,15 : Disarming Voice,20 : Bubble Beam,25 : Haze,30 : Icy Wind,35 : Aqua Ring,40 : Surf,45 : Acid Armor,50 : Hydro Pump,","TM001 : Headbutt,TM005 : Roar,TM006 : Calm Mind,TM009 : Flip Turn,TM013 : Ice Beam,TM017 : Protect,TM027 : Swift,TM028 : Dig,TM033 : Body Slam,TM035 : Endure,TM041 : Water Pulse,TM044 : Hyper Beam,TM049 : Icy Wind,TM055 : Giga Impact,TM056 : Double-Edge,TM070 : Whirlpool,TM071 : Hyper Voice,TM073 : Surf,TM074 : Shadow Ball,TM076 : Liquidation,TM085 : Substitute,TM087 : Iron Tail,TM095 : Taunt,TM096 : Hydro Pump,TM098 : Waterfall,TM105 : Blizzard,TM109 : Facade,TM110 : Chilling Water,TM115 : Trailblaze,TM125 : Mimic,TM140 : Muddy Water,TM146 : Skull Bash,TM148 : Scald,","Double Kick,Curse,Flail,Mud-Slap,Detect,Wish,Yawn,Tickle,"
Jolteon,"Evolve : Thunder Shock,— : Take Down,— : Double-Edge,— : Swift,— : Charm,— : Wish,— : Eerie Impulse,— : Tackle,— : Tail Whip,— : Bite,— : Growl,10 : Quick Attack,15 : Disarming Voice,20 : Thunder Wave,25 : Headbutt,30 : Thunder Fang,35 : Pin Missile,40 : Thunderbolt,45 : Fake Tears,50 : Thunder,","TM001 : Headbutt,TM005 : Roar,TM006 : Calm Mind,TM008 : Thunder Wave,TM016 : Light Screen,TM017 : Protect,TM021 : Thunder Fang,TM027 : Swift,TM028 : Dig,TM033 : Body Slam,TM035 : Endure,TM039 : Discharge,TM044 : Hyper Beam,TM047 : Agility,TM055 : Giga Impact,TM056 : Double-Edge,TM066 : Volt Switch,TM067 : Thunderbolt,TM071 : Hyper Voice,TM074 : Shadow Ball,TM085 : Substitute,TM086 : Wild Charge,TM087 : Iron Tail,TM101 : Electroweb,TM106 : Thunder,TM109 : Facade,TM115 : Trailblaze,TM122 : False Swipe,TM125 : Mimic,TM130 : Charge Beam,TM146 : Skull Bash,","Double Kick,Curse,Flail,Mud-Slap,Detect,Wish,Yawn,Tickle,"
Flareon,"Evolve : Ember,— : Take Down,— : Double-Edge,— : Swift,— : Charm,— : Wish,— : Tackle,— : Tail Whip,— : Bite,— : Growl,10 : Quick Attack,15 : Disarming Voice,20 : Smokescreen,25 : Flame Wheel,30 : Fire Spin,35 : Fire Fang,40 : Lava Plume,50 : Flare Blitz,","TM001 : Headbutt,TM005 : Roar,TM006 : Calm Mind,TM014 : Fire Fang,TM017 : Protect,TM027 : Swift,TM028 : Dig,TM030 : Swords Dance,TM033 : Body Slam,TM035 : Endure,TM038 : Fire Blast,TM044 : Hyper Beam,TM055 : Giga Impact,TM056 : Double-Edge,TM057 : Will-O-Wisp,TM062 : Flamethrower,TM068 : Heat Wave,TM071 : Hyper Voice,TM072 : Fire Spin,TM074 : Shadow Ball,TM085 : Substitute,TM087 : Iron Tail,TM095 : Taunt,TM104 : Flare Blitz,TM109 : Facade,TM114 : Flame Charge,TM115 : Trailblaze,TM125 : Mimic,TM136 : Scorching Sands,TM146 : Skull Bash,","Double Kick,Curse,Flail,Mud-Slap,Detect,Wish,Yawn,Tickle,"
Espeon,"Evolve : Confusion,— : Take Down,— : Double-Edge,— : Swift,— : Charm,— : Wish,— : Tackle,— : Tail Whip,— : Bite,— : Growl,10 : Quick Attack,15 : Disarming Voice,25 : Psybeam,30 : Morning Sun,35 : Heal Block,40 : Psychic,45 : Fake Tears,55 : Future Sight,","TM003 : Psyshock,TM005 : Roar,TM006 : Calm Mind,TM008 : Thunder Wave,TM016 : Light Screen,TM017 : Protect,TM019 : Power Gem,TM027 : Swift,TM028 : Dig,TM031 : Reflect,TM033 : Body Slam,TM035 : Endure,TM044 : Hyper Beam,TM051 : Safeguard,TM055 : Giga Impact,TM056 : Double-Edge,TM060 : Future Sight,TM063 : Psychic,TM071 : Hyper Voice,TM074 : Shadow Ball,TM085 : Substitute,TM087 : Iron Tail,TM092 : Dazzling Gleam,TM097 : Heal Block,TM109 : Facade,TM115 : Trailblaze,TM124 : Psychic Fangs,TM125 : Mimic,TM127 : Dream Eater,TM146 : Skull Bash,","Double Kick,Curse,Flail,Mud-Slap,Detect,Wish,Yawn,Tickle,"
Umbreon,"Evolve : Snarl,— : Take Down,— : Double-Edge,— : Swift,— : Charm,— : Wish,— : Tackle,— : Tail Whip,— : Bite,— : Growl,10 : Quick Attack,15 : Disarming Voice,20 : Confuse Ray,30 : Moonlight,35 : Knock Off,40 : Dark Pulse,45 : Screech,50 : Crunch,","TM005 : Roar,TM006 : Calm Mind,TM007 : Toxic,TM008 : Thunder Wave,TM016 : Light Screen,TM017 : Protect,TM025 : Crunch,TM027 : Swift,TM028 : Dig,TM031 : Reflect,TM033 : Body Slam,TM035 : Endure,TM044 : Hyper Beam,TM045 : Knock Off,TM055 : Giga Impact,TM056 : Double-Edge,TM063 : Psychic,TM071 : Hyper Voice,TM074 : Shadow Ball,TM085 : Substitute,TM087 : Iron Tail,TM090 : Dark Pulse,TM091 : Curse,TM095 : Taunt,TM109 : Facade,TM115 : Trailblaze,TM119 : Ominous Wind,TM121 : Torment,TM125 : Mimic,TM127 : Dream Eater,TM139 : Swagger,TM145 : Razor Wind,TM146 : Skull Bash,","Double Kick,Curse,Flail,Mud-Slap,Detect,Wish,Yawn,Tickle,"
Leafeon,"Evolve : Razor Leaf,— : Take Down,— : Double-Edge,— : Swift,— : Charm,— : Wish,— : Tackle,— : Tail Whip,— : Bite,— : Growl,10 : Quick Attack,15 : Disarming Voice,20 : Leech Seed,25 : Magical Leaf,30 : Synthesis,35 : Leaf Blade,40 : Giga Drain,45 : Swords Dance,50 : Leaf Storm,","TM005 : Roar,TM006 : Calm Mind,TM017 : Protect,TM022 : Aerial Ace,TM026 : Energy Ball,TM027 : Swift,TM028 : Dig,TM030 : Swords Dance,TM033 : Body Slam,TM035 : Endure,TM040 : Bullet Seed,TM042 : Giga Drain,TM044 : Hyper Beam,TM055 : Giga Impact,TM056 : Double-Edge,TM064 : Solar Beam,TM071 : Hyper Voice,TM074 : Shadow Ball,TM081 : X-Scissor,TM085 : Substitute,TM087 : Iron Tail,TM095 : Taunt,TM109 : Facade,TM115 : Trailblaze,TM125 : Mimic,TM128 : Seed Bomb,TM146 : Skull Bash,TM151 : Petal Dance,TM152 : Solar Blade,","Double Kick,Curse,Flail,Mud-Slap,Detect,Wish,Yawn,Tickle,"
Glaceon,"Evolve : Icy Wind,— : Take Down,— : Double-Edge,— : Swift,— : Charm,— : Wish,— : Tackle,— : Tail Whip,— : Bite,— : Growl,10 : Quick Attack,15 : Disarming Voice,18 : Mist,23 : Ice Shard,27 : Ice Fang,36 : Ice Beam,40 : Freeze-Dry,50 : Blizzard,","TM005 : Roar,TM006 : Calm Mind,TM013 : Ice Beam,TM015 : Ice Fang,TM017 : Protect,TM027 : Swift,TM028 : Dig,TM033 : Body Slam,TM035 : Endure,TM044 : Hyper Beam,TM049 : Icy Wind,TM055 : Giga Impact,TM056 : Double-Edge,TM071 : Hyper Voice,TM074 : Shadow Ball,TM085 : Substitute,TM087 : Iron Tail,TM095 : Taunt,TM105 : Blizzard,TM109 : Facade,TM110 : Chilling Water,TM115 : Trailblaze,TM125 : Mimic,TM138 : Frost Breath,TM144 : Triple Axel,TM146 : Skull Bash,TM149 : Icicle Spear,TM155 : Sheer Cold,","Double Kick,Curse,Flail,Mud-Slap,Detect,Wish,Yawn,Tickle,"
