No.,Name,Image,Type,Abilities
186,Pawniard,https://j-img.game8.co/4507518/64702575bdb2555ac7f7f2bb46a7711e.png/show,Dark&Steel,Inner Focus&Defiant&Pressure
187,Bisharp,https://j-img.game8.co/4507491/d9b6de97b6f8a1b11c35ebefaf07559f.png/show,Dark&Steel,Inner Focus&Defiant&Pressure
188,Kingambit,https://j-img.game8.co/7641847/177466697a1a8858e4e2a72c19b7696d.png/show,Dark&Steel,Defiant&Supreme Overlord&Pressure
189,Mimikyu,https://j-img.game8.co/4508432/11fb973156147bf798f37a274d40524f.png/show,Ghost&Fairy,Disguise
190,Impidimp,https://j-img.game8.co/4508589/0bae84e04aa3e23946165dc48c94d918.png/show,Dark&Fairy,Prankster&Frisk&Pickpocket
191,Morgrem,https://j-img.game8.co/4508583/384e5d53ef96f5a505d24d5be20c2e8a.png/show,Dark&Fairy,Prankster&Frisk&Pickpocket
192,Grimmsnarl,https://j-img.game8.co/4508548/8a1d7f7812768461b740983e84a1f73a.png/show,Dark&Fairy,Prankster&Frisk&Pickpocket
193,Indeedee (Male),https://j-img.game8.co/7498454/fbcb4cf56cba38633dae38e5e57f261a.png/show,Psychic&Normal,Inner Focus&Synchronize&Psychic Surge
193.1,Indeedee (Female),https://j-img.game8.co/7461047/a9486b371c82550e17ce1001f05ca9a0.png/show,Psychic&Normal,Own Tempo&Synchronize&Psychic Surge
194,Basculin (White Striped Form),https://img.game8.co/3715727/92f27a6f23c756ed541464d48896307d.png/show,Water,Rattled&Adaptability&Mold Breaker
195,Basculegion (Male),https://img.game8.co/3405370/0a0f4c890d6abafe6afd988d8ff6e2d1.png/show,Water&Ghost,Swift Swim&Adaptability&Mold Breaker
195.1,Basculegion (Female),https://img.game8.co/3565896/824dd7b9b0f67d20598aed3a93efaf5d.png/show,Water&Ghost,Swift Swim&Adaptability&Mold Breaker
196,Bloodmoon Ursaluna,https://img.game8.co/3813855/af36df7dec008b56c6d8b7618368ebd8.png/show,Ground&Normal,Mind's Eye
197,Okidogi,https://img.game8.co/3653407/5ddb58264350c8cbcd243d2f78822bc5.png/show,Poison&Fighting,Toxic Chain&Guard Dog
198,Munkidori,https://img.game8.co/3653404/1ece601538fcbeb7680f2330ff5815f9.png/show,Poison&Psychic,Toxic Chain&Frisk
199,Fezandipiti,https://img.game8.co/3653405/f66c458c9e6edd844b7293b5442fbf66.png/show,Poison&Fairy,Toxic Chain&Technician
200,Ogerpon,https://img.game8.co/3833005/5959be9e7c8755e0067d8475aa515708.png/show,Grass,Defiant&Embody Aspect
200.1,Ogerpon (Wellspring Mask),https://img.game8.co/3833006/feea9171f6b304690fabc87254a2dff0.png/show,Grass&Water,Water Absorb&Embody Aspect
200.2,Ogerpon (Hearthflame Mask),https://img.game8.co/3833004/23af5c9165d7132cfbb9bc45ce1801d5.png/show,Grass&Fire,Mold Breaker&Embody Aspect
200.3,Ogerpon (Cornerstone Mask),https://img.game8.co/3833008/4c95bd41b44c218a902fed899a1c34b0.png/show,Grass&Rock,Sturdy&Embody Aspect
